Name,Rank,Number,Percent
BRADLEY,200,131289,0.04867
CARROLL,201,131020,0.04857
HUDSON,202,130793,0.04848
DUNCAN,203,130419,0.04835
ARMSTRONG,204,129982,0.04818
BERRY,205,129405,0.04797
ANDREWS,206,129320,0.04794
JOHNSTON,207,128935,0.0478
RAY,208,128794,0.04774
LANE,209,128727,0.04772
RILEY,210,127960,0.04743
CARPENTER,211,127073,0.04711
PERKINS,212,126951,0.04706
AGUILAR,213,126399,0.04686
SILVA,214,126164,0.04677
RICHARDS,215,125653,0.04658
WILLIS,216,125627,0.04657
MATTHEWS,217,124839,0.04628
CHAPMAN,218,124614,0.04619
LAWRENCE,219,124321,0.04609
GARZA,220,124130,0.04601
VARGAS,221,123952,0.04595
WATKINS,222,122447,0.04539
WHEELER,223,121684,0.04511
LARSON,224,121064,0.04488
CARLSON,225,120124,0.04453
HARPER,226,119868,0.04443
GEORGE,227,119778,0.0444
GREENE,228,119604,0.04434
BURKE,229,119175,0.04418
GUZMAN,230,118390,0.04389
MORRISON,231,117939,0.04372
MUNOZ,232,117774,0.04366
JACOBS,233,115540,0.04283
OBRIEN,234,115385,0.04277
LAWSON,235,115186,0.0427
FRANKLIN,236,114859,0.04258
LYNCH,237,114448,0.04243
BISHOP,238,114034,0.04227
CARR,239,113892,0.04222
SALAZAR,240,113468,0.04206
AUSTIN,241,113160,0.04195
MENDEZ,242,112736,0.04179
GILBERT,243,112406,0.04167
JENSEN,244,112332,0.04164
WILLIAMSON,245,112216,0.0416
MONTGOMERY,246,112144,0.04157
HARVEY,247,112136,0.04157
OLIVER,248,111641,0.04138
HOWELL,249,109634,0.04064
DEAN,250,109230,0.04049
HANSON,251,109079,0.04044
WEBER,252,107866,0.03999
GARRETT,253,107777,0.03995
SIMS,254,107244,0.03976
BURTON,255,107158,0.03972
FULLER,256,106682,0.03955
SOTO,257,106631,0.03953
MCCOY,258,106481,0.03947
WELCH,259,105804,0.03922
CHEN,260,105544,0.03912
SCHULTZ,261,104962,0.03891
WALTERS,262,104281,0.03866
REID,263,104007,0.03856
FIELDS,264,103242,0.03827
WALSH,265,103216,0.03826
LITTLE,266,102718,0.03808
FOWLER,267,102620,0.03804
BOWMAN,268,102239,0.0379
DAVIDSON,269,102044,0.03783
MAY,270,101726,0.03771
DAY,271,101676,0.03769
SCHNEIDER,272,100553,0.03727
NEWMAN,273,100491,0.03725
BREWER,274,100465,0.03724
LUCAS,275,100417,0.03722
HOLLAND,276,99885,0.03703
WONG,277,99392,0.03684
BANKS,278,99294,0.03681
SANTOS,279,98993,0.0367
CURTIS,280,98958,0.03668
PEARSON,281,98728,0.0366
DELGADO,282,98675,0.03658
VALDEZ,283,98610,0.03655
PENA,284,98345,0.03646
RIOS,285,96569,0.0358
DOUGLAS,286,96425,0.03574
SANDOVAL,287,96303,0.0357
BARRETT,288,95896,0.03555
HOPKINS,289,94603,0.03507
KELLER,290,94300,0.03496
GUERRERO,291,94152,0.0349
STANLEY,292,93817,0.03478
BATES,293,93743,0.03475
ALVARADO,294,93723,0.03474
BECK,295,93161,0.03453
ORTEGA,296,93131,0.03452
WADE,297,92834,0.03441
ESTRADA,298,92831,0.03441
CONTRERAS,299,92660,0.03435
BARNETT,300,92287,0.03421
CALDWELL,301,91338,0.03386
SANTIAGO,302,90967,0.03372
LAMBERT,303,90618,0.03359
POWERS,304,90401,0.03351
CHAMBERS,305,90325,0.03348
NUNEZ,306,90208,0.03344
CRAIG,307,89591,0.03321
LEONARD,308,89198,0.03307
LOWE,309,89178,0.03306
RHODES,310,88917,0.03296
BYRD,311,88811,0.03292
GREGORY,312,88810,0.03292
SHELTON,313,88326,0.03274
FRAZIER,314,88325,0.03274
BECKER,315,88114,0.03266
MALDONADO,316,88016,0.03263
FLEMING,317,87949,0.0326
VEGA,318,87728,0.03252
SUTTON,319,87373,0.03239
COHEN,320,87226,0.03233
JENNINGS,321,87038,0.03226
PARKS,322,86346,0.03201
MCDANIEL,323,86317,0.032
WATTS,324,86228,0.03196
BARKER,325,85221,0.03159
NORRIS,326,85212,0.03159
VAUGHN,327,85037,0.03152
VAZQUEZ,328,84926,0.03148
HOLT,329,84710,0.0314
