Name,Rank,Number,Percent
NOELLE,985,12145,0.008
NOEMI,806,18217,0.012
NOLA,724,21253,0.014
NONA,860,16699,0.011
NORA,266,110821,0.073
NOREEN,785,19735,0.013
NORMA,94,330944,0.218
ODESSA,767,19735,0.013
OFELIA,704,22771,0.015
OLA,599,30362,0.02
OLGA,277,106266,0.07
OLIVE,456,45543,0.03
OLIVIA,352,74386,0.049
OLLIE,497,40988,0.027
OPAL,346,75905,0.05
OPHELIA,858,16699,0.011
ORA,494,40988,0.027
PAIGE,614,28844,0.019
PAM,365,69832,0.046
PAMELA,37,631526,0.416
PANSY,983,12145,0.008
PAT,387,60724,0.04
PATRICA,591,31880,0.021
PATRICE,510,39470,0.026
PATRICIA,2,1628911,1.073
PATSY,262,115375,0.076
PATTI,465,44025,0.029
PATTY,373,65278,0.043
PAULA,95,329426,0.217
PAULETTE,419,54651,0.036
PAULINE,133,250485,0.165
PEARL,224,142701,0.094
PEARLIE,782,19735,0.013
PEGGY,101,315763,0.208
PENELOPE,771,19735,0.013
PENNY,271,107784,0.071
PETRA,621,28844,0.019
PHOEBE,949,13663,0.009
PHYLLIS,93,332462,0.219
POLLY,582,33398,0.022
PRISCILLA,273,107784,0.071
QUEEN,923,13663,0.009
RACHAEL,406,57687,0.038
RACHEL,79,367378,0.242
RACHELLE,616,28844,0.019
RAE,751,21253,0.014
RAMONA,296,94122,0.062
RANDI,713,22771,0.015
RAQUEL,446,47061,0.031
REBA,531,36434,0.024
REBECCA,34,652779,0.43
REBEKAH,525,37952,0.025
REGINA,168,201906,0.133
RENA,504,40988,0.027
RENE,674,24289,0.016
RENEE,182,182171,0.12
REVA,870,15181,0.01
REYNA,972,13663,0.009
RHEA,960,13663,0.009
RHODA,721,21253,0.014
RHONDA,137,245931,0.162
RITA,104,309691,0.204
ROBBIE,653,25808,0.017
ROBERT,996,12145,0.008
ROBERTA,185,177617,0.117
ROBIN,100,315763,0.208
ROBYN,392,59206,0.039
ROCHELLE,443,48579,0.032
RONDA,511,39470,0.026
ROSA,112,294510,0.194
ROSALIE,395,59206,0.039
ROSALIND,642,27326,0.018
ROSALINDA,791,18217,0.012
ROSALYN,739,21253,0.014
ROSANNA,927,13663,0.009
ROSANNE,883,15181,0.01
ROSARIO,598,30362,0.02
ROSE,65,449355,0.296
ROSEANN,867,15181,0.01
ROSELLA,910,15181,0.01
ROSEMARIE,423,53133,0.035
ROSEMARY,204,162436,0.107
ROSETTA,579,33398,0.022
ROSIE,323,83495,0.055
ROSLYN,827,16699,0.011
ROWENA,971,13663,0.009
ROXANNE,389,60724,0.04
ROXIE,826,16699,0.011
RUBY,90,335498,0.221
RUTH,19,853167,0.562
RUTHIE,729,21253,0.014
SABRINA,312,86531,0.057
SADIE,399,59206,0.039
SALLIE,533,36434,0.024
SALLY,167,204942,0.135
SAMANTHA,177,188243,0.124
SANDRA,16,954879,0.629
SANDY,322,83495,0.055
SARA,84,347643,0.229
SARAH,23,771190,0.508
SASHA,893,15181,0.01
SAUNDRA,787,19735,0.013
SAVANNAH,906,15181,0.01
SELENA,815,18217,0.012
SELMA,691,24289,0.016
SERENA,762,19735,0.013
SHANA,633,27326,0.018
SHANNA,593,31880,0.021
SHANNON,123,265666,0.175
SHARI,487,42507,0.028
SHARLENE,993,12145,0.008
SHARON,20,792443,0.522
SHARRON,750,21253,0.014
SHAUNA,654,25808,0.017
SHAWN,532,36434,0.024
SHAWNA,490,40988,0.027
SHEENA,649,25808,0.017
SHEILA,124,265666,0.175
SHELBY,519,37952,0.025
SHELIA,374,65278,0.043
SHELLEY,354,74386,0.049
SHELLY,294,94122,0.062
SHEREE,873,15181,0.01
SHERI,379,63760,0.042
SHERRI,297,94122,0.062
SHERRIE,512,39470,0.026
SHERRY,119,270220,0.178
SHERYL,307,89567,0.059
SHIRLEY,27,731720,0.482
SILVIA,459,44025,0.029
SIMONE,711,22771,0.015
SOCORRO,673,24289,0.016
SOFIA,765,19735,0.013
SONDRA,639,27326,0.018
SONIA,284,103230,0.068
SONJA,468,44025,0.029
SONYA,339,77423,0.051
SOPHIA,441,48579,0.032
SOPHIE,463,44025,0.029
STACEY,211,153327,0.101
STACI,664,25808,0.017
STACIE,516,37952,0.025
STACY,180,183689,0.121
STEFANIE,597,31880,0.021
STELLA,247,129038,0.085
STEPHANIE,41,607236,0.4
SUE,197,168508,0.111
SUMMER,662,25808,0.017
SUSAN,8,1205364,0.794
SUSANA,608,28844,0.019
SUSANNA,869,15181,0.01
SUSANNE,606,30362,0.02
SUSIE,351,74386,0.049
SUZANNE,153,220123,0.145
SUZETTE,835,16699,0.011
SYBIL,693,24289,0.016
SYLVIA,120,268702,0.177
TABATHA,761,19735,0.013
TABITHA,496,40988,0.027
TAMARA,229,139664,0.092
TAMEKA,786,19735,0.013
TAMERA,964,13663,0.009
TAMI,489,40988,0.027
TAMIKA,578,33398,0.022
TAMMI,834,16699,0.011
TAMMIE,507,39470,0.026
TAMMY,75,393185,0.259
TAMRA,918,13663,0.009
TANIA,777,19735,0.013
TANISHA,816,18217,0.012
TANYA,237,135110,0.089
TARA,203,162436,0.107
TASHA,458,45543,0.03
TAYLOR,805,18217,0.012
TERESA,54,510078,0.336
TERI,436,50097,0.033
TERRA,999,12145,0.008
TERRI,206,159400,0.105
TERRIE,733,21253,0.014
TERRY,253,121447,0.08
TESSA,885,15181,0.01
THELMA,122,265666,0.175
THERESA,72,411403,0.271
THERESE,569,33398,0.022
TIA,749,21253,0.014
TIFFANY,110,296028,0.195
TINA,92,333980,0.22
TISHA,963,13663,0.009
TOMMIE,778,19735,0.013
TONI,291,97158,0.064
TONIA,644,27326,0.018
TONYA,209,154845,0.102
TRACEY,280,104748,0.069
TRACI,401,57687,0.038
TRACIE,544,36434,0.024
TRACY,108,299064,0.197
TRICIA,454,45543,0.03
TRINA,530,36434,0.024
TRISHA,539,36434,0.024
TRUDY,589,31880,0.021
TWILA,973,13663,0.009
URSULA,630,27326,0.018
VALARIE,737,21253,0.014
VALERIA,859,16699,0.011
VALERIE,149,226196,0.149
VANESSA,195,168508,0.111
VELMA,286,100194,0.066
VERA,218,148773,0.098
VERNA,359,72868,0.048
VERONICA,158,215569,0.142
VICKI,201,165472,0.109
VICKIE,251,124483,0.082
VICKY,377,65278,0.043
VICTORIA,116,273256,0.18
VILMA,908,15181,0.01
VIOLA,244,130556,0.086
VIOLET,289,98676,0.065
VIRGIE,714,22771,0.015
VIRGINIA,35,652779,0.43
VIVIAN,184,179135,0.118
VONDA,982,12145,0.008
WANDA,87,343089,0.226
WENDI,884,15181,0.01
WENDY,115,280847,0.185
WHITNEY,368,68314,0.045
WILDA,920,13663,0.009
WILLA,688,24289,0.016
WILLIE,219,147255,0.097
WILMA,212,150291,0.099
WINIFRED,499,40988,0.027
WINNIE,699,24289,0.016
YESENIA,853,16699,0.011
YOLANDA,190,174580,0.115
YOUNG,902,15181,0.01
YVETTE,348,75905,0.05
YVONNE,174,191279,0.126
ZELMA,783,19735,0.013
