Name,Rank,Number,Percent
JUANITA,135,248967,0.164
JUDITH,64,450873,0.297
JUDY,69,418993,0.276
JULIA,89,338534,0.223
JULIANA,844,16699,0.011
JULIANNE,818,18217,0.012
JULIE,52,528296,0.348
JULIET,933,13663,0.009
JULIETTE,896,15181,0.01
JUNE,176,189761,0.125
JUSTINE,668,25808,0.017
KAITLIN,968,13663,0.009
KARA,381,62242,0.041
KAREN,13,1012567,0.667
KARI,416,54651,0.036
KARIN,546,36434,0.024
KARINA,780,19735,0.013
KARLA,370,66796,0.044
KARYN,921,13663,0.009
KASEY,847,16699,0.011
KATE,464,44025,0.029
KATELYN,882,15181,0.01
KATHARINE,661,25808,0.017
KATHERINE,61,475162,0.313
KATHERYN,951,13663,0.009
KATHIE,856,16699,0.011
KATHLEEN,36,643670,0.424
KATHRINE,828,16699,0.011
KATHRYN,82,355233,0.234
KATHY,71,412921,0.272
KATIE,193,171544,0.113
KATINA,947,13663,0.009
KATRINA,299,92604,0.061
KATY,817,18217,0.012
KAY,272,107784,0.071
KAYE,837,16699,0.011
KAYLA,338,77423,0.051
KEISHA,625,28844,0.019
KELLEY,450,47061,0.031
KELLI,366,69832,0.046
KELLIE,467,44025,0.029
KELLY,67,429620,0.283
KELSEY,555,36434,0.024
KENDRA,403,57687,0.038
KENYA,824,16699,0.011
KERI,629,27326,0.018
KERRI,538,36434,0.024
KERRY,452,47061,0.031
KIM,118,270220,0.178
KIMBERLEY,592,31880,0.021
KIMBERLY,24,765118,0.504
KIRSTEN,632,27326,0.018
KITTY,987,12145,0.008
KRIS,833,16699,0.011
KRISTA,388,60724,0.04
KRISTEN,194,168508,0.111
KRISTI,319,83495,0.055
KRISTIE,500,40988,0.027
KRISTIN,214,150291,0.099
KRISTINA,290,98676,0.065
KRISTINE,342,77423,0.051
KRISTY,355,72868,0.048
KRYSTAL,413,56169,0.037
LACEY,626,27326,0.018
LACY,932,13663,0.009
LADONNA,687,24289,0.016
LAKEISHA,868,15181,0.01
